#structure
csvSeparator=;
structure=tree
dateFormat=dd/mm/yyyy
codeColumnsIndex=1,2
titleColumnIndex_PT=3

#metadata
name=CS_Prod_Trade
title_EN=CountrySTAT commodities
description_EN=CountrySTAT commodities
version=1.0
startDate=16/06/2014
sharingPolicy=publicPolicy
keywords=code list,commodities,production, trade, commodity,product,products,countrySTAT



--data--



;15;Trigo
;16;Farinha de trigo
;18;Macarrão
;19;Germe de Trigo
;20;Pão de Trigo
;21;Bulgur
;22;Pastelaria
;23;Ámido de trigo
;24;Gluten de Trigo
;27;Arrozal
;28;Arroz descascado
;29;Arroz descascado Moido
;31;Arroz branqueado
;32;Arroz quebrado
;33;Gluten do arroz
;34;Amido de arroz
;38;Farinha de arroz
;41;Floco de cereais
;44;Cevada
;45;Cevadinha
;46;Barley mingau
;48;Farinha de cevada e grão
;49;Malte
;50;Extracto de Malte
;56;Milho
;57;Germe de milho
;58;Farinha de milho
;63;Gluten de milho
;64;Amido de milho
;67;Milho branco
;68;Pipocas
;71;Centeio
;72;Farinha de centeio
;75;Aveia
;76;Aveias em flocos
;79;Mexoeira
;80;Farinha de mexoeira
;83;Mapira
;84;Farinha de Mapira
;89;Trigo mourisco, trigo negro
;90;Farinha de trigo mourisco
;92;Quinoa
;94;Fonio
;95;Farinha de fonio
;97;Triticale
;98;Farinha de triticale
;101;Semente amarela
;103;Grão misto
;104;Farinha de grão misto
;108;Cereais nes
;108,1;Teff
;109;Comida para as crianças
;110;Wafers
;111;Farinha de cereais
;113;Cerais preparado de nes
;114;Misturas e pastas
;115;Preparação de alimento, farinha e extrato de malta
;116;Batata reno
;117;Farinha de batata reno
;118;Batata congelada
;119;Amido de Batata
;121;Tapioca de Batata
;122;Batata doce
;125;Mandioca
;126;Farinha de Mandioca
;127;Tapioca de Mandioca
;128;Mandioca seca
;129;Amido de mandioca
;135;Repolho das Caraibas
;136;Inhame
;137;Inhame
;149;Raizes e tuberculos, nes
;150;Farinha de raizes e tuberculos
;151;Raizes e tubérculos secos
;154;Fructose quimicamente pura
;155;Maltose quimicamente puro
;156;Cana de açúcar
;157;Beterraba açucareira
;158;Cana de açúcar em bruto e centrifugado
;159;Açucar de beterraba, em bruto e centrifugado
;160;Açucar e xarope de Erable
;161;Planta açucrareiras
;162;Açucar bruto centrifugado
;163;Açúcar não centrifugado
;164;Açúcar refinado
;165;Melaço
;166;Outras fructose e xarope
;167;Açucar nes
;168;Açúcar confeteiro
;172;Glucose e Dextrose
;173;Lactose
;174;Adoçantes artificiais
;175;Isoglucose
;1182;Mel natural
;176;Feijão secos
;181;Feijões e favas secas
;187;Ervilha seca
;191;Grão de Bico
;195;Leguminosas secas n.e
;197;Guandu
;201;Lentilhas
;203;Bambara
;205;Ervilhaça
;210;Tremoços
;211;Leguminosas nes
;212;Farinha de luguminosas
;216;Castanha de Brasil nao descascada
;217;Castanha de caju com casca
;220;Castanha
;221;Amêndoas nao descascadas
;222;Nozes com casca
;223;Pistaschios
;224;Cola
;225;Avelãs descascadas
;226;Nozes
;229;Castanha de Brasil descascasa
;230;Castanha de caju sem casca
;231;Amendoas descascadas
;232;Nozes sem casca
;233;Avelãs descascadas
;234;Castanhas nes
;235;Frutos com casca preparada (ex: amendoim)
;236;Soja
;239;Molho de soja
;240;Pasta de soja
;241;Coalhada desoja
;242;Amendoim com casca
;243;Amendoim sem casca
;246;Amendoim preparado
;247;Manteiga de amendoim
;249;Coco
;250;Castanha de coco seca
;251;Copra
