#structure
csvSeparator=;
structure=tree
dateFormat=dd/mm/yyyy
codeColumnsIndex=1,2
startYearColumnIndex=3
expireYearColumnIndex=4
titleColumnIndex_PT=5
titleColumnIndex_EN=6
titleColumnIndex_FR=7
titleColumnIndex_ES=8
titleColumnIndex_ZH=9
titleColumnIndex_AR=10
titleColumnIndex_RU=11

#metadata
name=GAUL
version=1.0



--data--


;59;;;;;;;;;
59;970;;;;;;;;;
59;971;;;;;;;;;
59;972;;;;;;;;;
59;973;1000;2002;;Kouilou;;;;;
59;974;;;;;;;;;
59;975;;;;;;;;;
59;976;;;;;;;;;
59;977;;;;;;;;;
59;978;1000;2001;;Pool;;;;;
59;979;;;;;;;;;
59;68771;;;;;;;;;

59;190431;2002;3000;;Pool;;;;;
59;190432;2002;3000;;Brazzaville;;;;;
59;190433;2011;3000;;Kouilou;;;;;
59;190434;2011;3000;;Point-Noire;;;;;
59;190435;2003;2010;;Kouilou;;;;;
59;190436;2003;2010;;Point-Noire;;;;;


970;190495;2011;3000;;Tsiaki;;;;;
970;190496;2011;3000;;Kingoue;;;;;
970;190498;2011;3000;;Mouyondzi;;;;;
970;190499;2011;3000;;Yamba;;;;;
970;190500;2011;3000;;Mabombo;;;;;
971;190442;1000;3000;;Loukolela;;;;;
971;190445;2011;3000;;Owando;;;;;
971;190446;2011;3000;;Makoua;;;;;
971;190452;2011;3000;;Ngoko;;;;;
971;190455;2011;3000;;Boundji;;;;;
971;190457;2011;3000;;Oyo;;;;;
971;190483;2011;3000;;Tchikapika;;;;;
971;190505;2011;3000;;Ntokou;;;;;
972;190456;2011;3000;;Ewo;;;;;
972;190449;2011;3000;;Kelle;;;;;
972;190450;2011;3000;;Etoumbi;;;;;
972;190451;2011;3000;;Mbama;;;;;
973;190475;1000;3000;;Pointe-Noire;;;;;
974;190493;2011;3000;;Sibiti;;;;;
974;190494;2011;3000;;Mayeye;;;;;
975;190437;2011;3000;;Betou;;;;;
975;190438;2011;3000;;Enyelle;;;;;
975;190439;2011;3000;;Dongou;;;;;
975;190440;2011;3000;;Impfondo;;;;;
975;190441;2011;3000;;Liranga;;;;;
975;190443;2011;3000;;Bouanila;;;;;
975;190509;2011;3000;;Epena;;;;;
976;190477;2011;3000;;Louvakou;;;;;
976;190478;2011;3000;;Kimongo;;;;;
976;190479;2011;3000;;Londela_Kayes;;;;;
976;190506;2011;3000;;Moutamba;;;;;
976;190461;2011;3000;;Mayoko;;;;;
976;190462;2011;3000;;Mbinda;;;;;
976;190463;2011;3000;;Moungoundou_Nord;;;;;
976;190464;2011;3000;;Moungoundou_Sud;;;;;
976;190465;2011;3000;;Divenie;;;;;
976;190466;2011;3000;;Nyanga;;;;;
976;190467;2011;3000;;Yaya;;;;;
976;190468;2011;3000;;Makabana;;;;;
976;190469;2011;3000;;Kibangou;;;;;
976;190470;2011;3000;;Banba;;;;;
977;190480;2011;3000;;Abala;;;;;
977;190481;2011;3000;;Ollombo;;;;;
977;190482;2011;3000;;Ongogni;;;;;
977;190484;2011;3000;;Makotimpoko;;;;;
977;190485;2011;3000;;Mpouya;;;;;
977;190488;2011;3000;;Gamboma;;;;;
977;190453;2011;3000;;Mbon;;;;;
977;190454;2011;3000;;Ngo;;;;;
977;190458;2011;3000;;Allembe;;;;;
977;190459;2011;3000;;Lekana;;;;;
977;190460;2011;3000;;Djambala;;;;;
978;190486;1000;3000;;Brazzaville;;;;;
979;190444;2011;3000;;Pikounda;;;;;
979;190447;2011;3000;;Sembe;;;;;
979;190448;2011;3000;;Ngbala;;;;;
979;190507;2011;3000;;Ouesso;;;;;
979;190508;2011;3000;;Mokeko;;;;;
68771;190442;1000;3000;;Loukolela;;;;;

190431;190487;2011;3000;;Ignie;;;;;
190431;190489;2011;3000;;Goma_Tsetse;;;;;
190431;190490;2011;3000;;Kinkala;;;;;
190431;190491;2011;3000;;Vindza;;;;;
190431;190492;2011;3000;;Kimba;;;;;
190431;190497;2011;3000;;Kindamba;;;;;
190431;190501;2011;3000;;Louingui;;;;;
190431;190502;2011;3000;;Boko;;;;;
190431;190503;2011;3000;;Loumo;;;;;
190431;190504;2011;3000;;Mbandza_Ndounga;;;;;
190432;190486;1000;3000;;Brazzaville;;;;;
190433;190471;2011;3000;;Kakameoka;;;;;
190433;190472;2011;3000;;Madingo_Kayes;;;;;
190433;190473;2011;3000;;Nzambi;;;;;
190433;190474;2011;3000;;Hinda;;;;;
190434;190475;1000;3000;;Pointe-Noire;;;;;
190434;190476;2011;3000;;Tchiamba_Nzassi;;;;;
190436;190475;1000;3000;;Pointe-Noire;;;;;


970;14427;1000;2010;;Mouyondzi;;;;;
972;14429;1000;2010;;Ewo;;;;;
972;14430;1000;2010;;Kelle;;;;;
971;14432;1000;2010;;Boundji;;;;;
971;14434;1000;2010;;Makoua;;;;;
971;14435;1000;2010;;Mossaka;;;;;
971;14437;1000;2010;;Owando;;;;;
973;14438;1000;2010;;Kakameoka;;;;;
973;14439;1000;2010;;Loandjili (pointe Noire);;;;;
973;14440;1000;2010;;Madingo_Kayes;;;;;
974;14444;1000;2010;;Sibiti;;;;;
975;14446;1000;2010;;Dongou;;;;;
975;14447;1000;2010;;Epena;;;;;
975;14448;1000;2010;;Impfondo;;;;;
976;14449;1000;2010;;Divenie;;;;;
976;14450;1000;2010;;Kibangou;;;;;
976;14451;1000;2010;;Kimongo;;;;;
976;14452;1000;2010;;Louvakou;;;;;
976;14453;1000;2010;;Mayoko;;;;;
976;14454;1000;2010;;Mossendjo;;;;;
977;14455;1000;2010;;Abala;;;;;
977;14456;1000;2010;;Djambala;;;;;
977;14457;1000;2010;;Gamboma;;;;;
977;14458;1000;2010;;Lekana;;;;;
978;14459;1000;2010;;Boko;;;;;
978;14460;1000;2010;;Kindamba;;;;;
978;14461;1000;2010;;Kinkala;;;;;
978;14465;1000;2010;;Ngamaba (brazzaville);;;;;
979;14466;1000;2010;;Ouesso;;;;;
979;14467;1000;2010;;Sembe;;;;;
68771;14429;1000;2010;;Ewo;;;;;
68771;14430;1000;2010;;Kelle;;;;;
68771;14432;1000;2010;;Boundji;;;;;
68771;14434;1000;2010;;Makoua;;;;;
68771;14435;1000;2010;;Mossaka;;;;;
68771;14437;1000;2010;;Owando;;;;;

190431;14459;1000;2010;;Boko;;;;;
190431;14460;1000;2010;;Kindamba;;;;;
190431;14461;1000;2010;;Kinkala;;;;;
190431;14462;1000;3000;;Mayama;;;;;
190431;14463;1000;3000;;Mindouli;;;;;
190431;14464;1000;3000;;Ngabe;;;;;
190431;14465;1000;2010;;Ngamaba (brazzaville);;;;;
190435;14438;1000;2010;;Kakameoka;;;;;
190435;14439;1000;2010;;Loandjili (pointe Noire);;;;;
190435;14440;1000;2010;;Madingo_Kayes;;;;;
190433;14441;1000;3000;;Mvouti;;;;;
190435;14441;1000;3000;;Mvouti;;;;;
